generation,individual_id,seed_value,reward,shared_fitness
2,10,2049,-1023.6093215450028,0.1070801080377058
2,10,2070,-1188.335462722493,0.1070801080377058
2,10,2031,-968.7826872887341,0.1070801080377058
2,10,2114,-1282.2752239393708,0.1070801080377058
2,11,2099,-835.3079295869959,0.0625116092251384
2,11,2049,-1354.7603153809882,0.0625116092251384
2,11,2070,-1062.0020609582655,0.0625116092251384
2,11,2031,-1357.464595353029,0.0625116092251384
2,11,2114,-1339.5745494982432,0.0625116092251384
2,12,2099,-940.4844142944747,0.084389145628952
2,12,2049,-1167.7228394439796,0.084389145628952
2,12,2070,-1140.0929699721191,0.084389145628952
2,12,2031,-1186.968271697268,0.084389145628952
2,12,2114,-1303.178697757516,0.084389145628952
2,13,2099,-921.867869129829,0.07306233241753717
2,13,2049,-1195.8558821829847,0.07306233241753717
2,13,2070,-1145.10054851444,0.07306233241753717
2,13,2031,-1203.401921338604,0.07306233241753717
2,13,2114,-1332.5881129993184,0.07306233241753717
2,14,2099,-964.0854965468585,0.11474702409976457
2,14,2049,-892.4826282938861,0.11474702409976457
2,14,2070,-1158.9058474966087,0.11474702409976457
2,14,2031,-1040.5441828485314,0.11474702409976457
2,14,2114,-1280.6463657256036,0.11474702409976457
2,15,2099,-921.8433759351411,0.07572324745805863
2,15,2049,-1166.5459938978292,0.07572324745805863
2,15,2070,-1163.8670594687112,0.07572324745805863
2,15,2031,-1193.7488868581436,0.07572324745805863
2,15,2114,-1326.0833822672848,0.07572324745805863
2,16,2099,-890.849537195886,0.08233390647411262
2,16,2049,-1116.2818234386655,0.08233390647411262
2,16,2070,-1162.2996135450999,0.08233390647411262
2,16,2031,-1183.86382286621,0.08233390647411262
2,16,2114,-1321.2094865252004,0.08233390647411262
2,17,2099,-845.5863631256337,0.11498480074071067
2,17,2049,-984.2981909074138,0.11498480074071067
2,17,2070,-1186.9474429104948,0.11498480074071067
2,17,2031,-918.6830470944484,0.11498480074071067
2,17,2114,-1294.9572950059598,0.11498480074071067
2,18,2099,-746.2719034907566,0.12505923636731991
2,18,2049,-970.4936510842576,0.12505923636731991
2,18,2070,-1176.986194535021,0.12505923636731991
2,18,2031,-863.4828323174318,0.12505923636731991
2,18,2114,-1292.7788331454265,0.12505923636731991
2,19,2099,-936.135990214983,0.09032086630205476
2,19,2049,-1068.1135120266779,0.09032086630205476
2,19,2070,-1155.5983296945005,0.09032086630205476
2,19,2031,-1148.2067510366455,0.09032086630205476
2,19,2114,-1307.9009158799036,0.09032086630205476
2,20,2099,-891.4459079698219,0.06125735861879307
2,20,2049,-1328.3364987617745,0.06125735861879307
2,20,2070,-1065.6755255583107,0.06125735861879307
2,20,2031,-1335.0661533552113,0.06125735861879307
2,20,2114,-1345.0477150984173,0.06125735861879307
2,21,2099,-1068.1188132959967,0.0997990515567187
2,21,2049,-1064.618079338557,0.0997990515567187
2,21,2070,-1239.2390991538805,0.0997990515567187
2,21,2031,-963.7521406811834,0.0997990515567187
2,21,2114,-1272.9430875115102,0.0997990515567187
2,22,2099,-981.9509638414156,0.05531063438643784
2,22,2049,-1200.761262381798,0.05531063438643784
2,22,2070,-1172.7588981302279,0.05531063438643784
2,22,2031,-1210.6723429858023,0.05531063438643784
2,22,2114,-1372.2984827080597,0.05531063438643784
2,23,2099,-891.2312398051698,0.0847880258517445
2,23,2049,-1074.1261284974119,0.0847880258517445
2,23,2070,-1167.0076660652844,0.0847880258517445
2,23,2031,-1174.4770563076129,0.0847880258517445
2,23,2114,-1322.155656536271,0.0847880258517445
2,24,2099,-892.4218673786517,0.09764646848357324
2,24,2049,-1045.4673717455607,0.09764646848357324
2,24,2070,-1212.5397036347315,0.09764646848357324
2,24,2031,-965.7609005153839,0.09764646848357324
2,24,2114,-1315.8201395162173,0.09764646848357324
2,25,2099,-746.9244901655269,0.1257762242478459
2,25,2049,-968.8705202476515,0.1257762242478459
2,25,2070,-1176.5919378902383,0.1257762242478459
2,25,2031,-861.8915484132223,0.1257762242478459
2,25,2114,-1291.0983893721148,0.1257762242478459
2,26,2099,-884.2564252507191,0.1126432565109888
2,26,2049,-969.1064940093636,0.1126432565109888
2,26,2070,-1186.2450297894106,0.1126432565109888
2,26,2031,-859.1552698089483,0.1126432565109888
2,26,2114,-1313.4002362813223,0.1126432565109888
