Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 860000 | Elapsed: 3420.1s | Recent Avg Reward: -124.2
    [Progress] Steps: 870000 | Elapsed: 3463.6s | Recent Avg Reward: -136.3
    [Progress] Steps: 880000 | Elapsed: 3502.3s | Recent Avg Reward: -110.1
    [Progress] Steps: 890000 | Elapsed: 3541.4s | Recent Avg Reward: -115.8
    [Progress] Steps: 900000 | Elapsed: 3580.7s | Recent Avg Reward: -120.7
    [Progress] Steps: 910000 | Elapsed: 3623.8s | Recent Avg Reward: -138.8
    [Progress] Steps: 920000 | Elapsed: 3662.6s | Recent Avg Reward: -129.9
    [Progress] Steps: 930000 | Elapsed: 3701.8s | Recent Avg Reward: -126.8
    [Progress] Steps: 940000 | Elapsed: 3740.6s | Recent Avg Reward: -119.4
    [Progress] Steps: 950000 | Elapsed: 3779.9s | Recent Avg Reward: -122.3
    [Progress] Steps: 960000 | Elapsed: 3823.5s | Recent Avg Reward: -117.8
    [Progress] Steps: 970000 | Elapsed: 3862.2s | Recent Avg Reward: -121.2
    [Progress] Steps: 980000 | Elapsed: 3901.5s | Recent Avg Reward: -125.9
    [Progress] Steps: 990000 | Elapsed: 3940.9s | Recent Avg Reward: -108.5
    [Progress] Steps: 1000000 | Elapsed: 3984.5s | Recent Avg Reward: -104.2
[*] Final Result for Noisy Seed 103: Stopped at 1007616 steps in 4016.79 seconds
[*] Data strictly saved to: ppo_3m_noisy_acrobot_results_seed_103\ppo_learning_curve.csv

--- Running NOISY Acrobot Seed 104 (2/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 10000 | Elapsed: 37.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 20000 | Elapsed: 74.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 30000 | Elapsed: 112.3s | Recent Avg Reward: -498.8
    [Progress] Steps: 40000 | Elapsed: 149.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 50000 | Elapsed: 191.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 60000 | Elapsed: 229.1s | Recent Avg Reward: -493.5
    [Progress] Steps: 70000 | Elapsed: 266.8s | Recent Avg Reward: -499.2
    [Progress] Steps: 80000 | Elapsed: 303.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 90000 | Elapsed: 341.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 100000 | Elapsed: 383.5s | Recent Avg Reward: -484.4
    [Progress] Steps: 110000 | Elapsed: 420.8s | Recent Avg Reward: -499.8
    [Progress] Steps: 120000 | Elapsed: 458.5s | Recent Avg Reward: -497.5
    [Progress] Steps: 130000 | Elapsed: 496.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 140000 | Elapsed: 537.9s | Recent Avg Reward: -494.4
    [Progress] Steps: 150000 | Elapsed: 575.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 160000 | Elapsed: 613.3s | Recent Avg Reward: -498.1
    [Progress] Steps: 170000 | Elapsed: 651.1s | Recent Avg Reward: -495.9
    [Progress] Steps: 180000 | Elapsed: 688.3s | Recent Avg Reward: -488.0
    [Progress] Steps: 190000 | Elapsed: 730.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 200000 | Elapsed: 768.5s | Recent Avg Reward: -499.4
    [Progress] Steps: 210000 | Elapsed: 806.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 220000 | Elapsed: 843.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 230000 | Elapsed: 885.7s | Recent Avg Reward: -498.1
    [Progress] Steps: 240000 | Elapsed: 923.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 250000 | Elapsed: 961.0s | Recent Avg Reward: -500.0
    [Progress] Steps: 260000 | Elapsed: 998.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 270000 | Elapsed: 1036.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 280000 | Elapsed: 1078.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 290000 | Elapsed: 1116.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 300000 | Elapsed: 1153.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 310000 | Elapsed: 1191.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 320000 | Elapsed: 1234.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 330000 | Elapsed: 1271.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 340000 | Elapsed: 1308.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 350000 | Elapsed: 1346.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 360000 | Elapsed: 1384.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 370000 | Elapsed: 1426.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 380000 | Elapsed: 1464.1s | Recent Avg Reward: -500.0
    [Progress] Steps: 390000 | Elapsed: 1501.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 400000 | Elapsed: 1539.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 410000 | Elapsed: 1581.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 420000 | Elapsed: 1618.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 430000 | Elapsed: 1656.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 440000 | Elapsed: 1694.8s | Recent Avg Reward: -500.0
    [Progress] Steps: 450000 | Elapsed: 1732.5s | Recent Avg Reward: -500.0
    [Progress] Steps: 460000 | Elapsed: 1774.2s | Recent Avg Reward: -500.0
    [Progress] Steps: 470000 | Elapsed: 1811.7s | Recent Avg Reward: -500.0
    [Progress] Steps: 480000 | Elapsed: 1849.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 490000 | Elapsed: 1886.9s | Recent Avg Reward: -500.0
    [Progress] Steps: 500000 | Elapsed: 1929.3s | Recent Avg Reward: -500.0
    [Progress] Steps: 510000 | Elapsed: 1966.6s | Recent Avg Reward: -500.0
    [Progress] Steps: 520000 | Elapsed: 2004.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 530000 | Elapsed: 2042.4s | Recent Avg Reward: -500.0
    [Progress] Steps: 540000 | Elapsed: 2080.2s | Recent Avg Reward: -500.0
