gen,best_fitness,max_raw_reward,avg_raw_reward
88,0.14604399063732265,-936.5445691129455,-1131.2101269049447
89,0.14595637139505355,-883.4567802563728,-1036.6008347391055
90,0.17953931713121893,-805.2823297963764,-1109.7340434949274
91,0.1586369532076892,-844.9697511008268,-1076.0432877847013
92,0.14220861096738197,-886.444746074037,-1071.5396282346248
93,0.13670501748165878,-838.6793359743372,-1027.5457107598895
94,0.17621642735061704,-761.9771911979342,-1099.0468853158968
95,0.14730476048156987,-799.4309271196257,-1030.1650564507993
96,0.1439841127831681,-846.8109631972936,-1066.4920506586984
97,0.12825198647324354,-959.524099215131,-1130.77732257154
98,0.13547124710939465,-982.9562681928397,-1133.290022301274
99,0.14950164354258316,-793.1559008160748,-1000.4165832522273
100,0.1442376248814117,-830.8519221085371,-1045.4254728801081
