generation,best_avg_reward,avg_top_reward,worst_avg_reward,avg_nodes,min_nodes,max_nodes
25,-176.05142834343718,-135.95545400787984,-1074.7641805591095,8.258333333333333,4,12
26,-162.5499272843405,-123.08185753057408,-843.9117121407729,8.025,4,12
27,-149.15982705515188,-127.88799625783254,-640.9147255549443,8.191666666666666,4,12
28,-163.45691300199866,-131.03376893652074,-631.6367820530965,8.483333333333333,4,12
29,-139.9775730687617,-114.34435533540285,-603.6227281265025,7.766666666666667,4,12
30,-185.2466406192968,-118.06232916088157,-628.3741331159486,7.875,4,13
31,-81.12191029519036,-119.31860119613393,-595.7772658885452,8.516666666666667,5,13
32,-68.63887706001826,-108.0531275398438,-656.9447578924495,8.608333333333333,5,13
33,-77.10622069923136,-119.67594093892679,-582.3125257503679,8.383333333333333,5,13
34,-49.847800763871504,-94.04473697063011,-557.2375931111925,8.7,5,13
35,-83.95766336470606,-81.82921353163066,-552.5779989393859,8.425,6,13
36,-80.0593098883385,-79.1701507295166,-1102.734995857743,8.833333333333334,6,13
37,-39.148125571954054,-56.416214499716276,-489.6404554815573,8.483333333333333,5,11
38,-46.416685421947456,-48.040568768991335,-570.3620243249873,8.45,5,12
39,-11.676932982171042,-15.725799782180689,-532.8543489693465,8.4,4,11
40,-52.953766590408506,-52.17071557874189,-800.8721047119832,8.233333333333333,4,12
41,-39.11594710376131,-40.51341733899351,-590.3451990239929,8.558333333333334,4,12
42,-319.055964106352,-42.8425195895029,-797.1382076035267,8.783333333333333,5,12
43,-208.9490724271388,-45.24529686021992,-530.9729852029244,8.533333333333333,5,12
44,-241.92095526686953,-64.6558596036476,-555.952017254987,8.475,4,11
45,-220.39090843485033,-46.74788117512108,-841.0489418949362,8.391666666666667,4,12
46,-285.49196170820306,-106.19111567728311,-587.815350063305,8.491666666666667,5,11
47,-208.21194424835852,-36.8471696861225,-541.6154543330955,8.783333333333333,4,12
48,-204.78925198920697,-46.243716672846084,-590.5562233071903,8.75,4,13
49,-199.3512369689268,-39.99718771910219,-494.59852148770403,8.775,4,12
50,-267.35847838237225,-49.53575778884213,-610.3503031569218,9.291666666666666,5,13
51,-219.205652216095,-45.51087984523806,-557.0772379218469,9.041666666666666,4,13
52,-288.2616179195792,-47.788740598502514,-604.6772495233963,8.833333333333334,4,13
53,-151.83225548959064,-35.944453629868995,-578.0783414211886,8.908333333333333,4,13
54,-167.39065658559073,-32.689241178324615,-583.9668164601526,8.916666666666666,5,14
55,-170.33985469491265,-68.01205565120992,-664.1675183688675,9.083333333333334,4,15
56,-213.07631611546427,-46.961393380812105,-868.9079378880695,8.758333333333333,5,14
57,-196.81387338387054,-33.87776984196359,-737.8908199171193,9.241666666666667,4,14
58,-27.065914707664394,-28.375454893538336,-593.5874735313826,9.7,6,14
59,-29.48310349278531,-30.81377367910809,-739.127244925108,9.775,6,14
60,-30.172005757763202,-41.454800641404304,-526.1019525928759,9.825,6,14
61,-39.94228992560653,-37.41810411582377,-833.1451915694897,10.216666666666667,6,14
62,-38.62210122534443,-35.9831784125923,-1723.1678012132743,10.658333333333333,6,14
63,-35.008114596264555,-37.55407772151917,-562.6182972845365,10.675,6,14
64,-47.62073188468874,-46.80082857666392,-689.7959942865119,10.366666666666667,6,14
65,-9.200105168172644,-16.114404660501503,-538.0151830595885,10.608333333333333,6,14
66,-31.02234863080439,-31.33419846326651,-762.0492378847806,9.983333333333333,5,15
67,-133.22701324383178,-36.78578622266772,-529.4753123784179,9.725,5,16
68,-171.27146018240052,-38.197821995307066,-599.5478587774022,9.475,4,14
69,-177.8061379533479,-45.81660880809882,-664.5290642654747,9.55,5,14
70,-234.4045468522561,-98.900545868606,-675.9091734706838,10.308333333333334,5,14
