generation,best_raw_reward,avg_raw_reward,worst_raw_reward,best_fitness,avg_fitness,avg_nodes,min_nodes,max_nodes
120,-118.66414446955335,-33.81109394530643,-657.1823533843692,1.0097087368639834,0.033390501459844985,28.116666666666667,19,37
121,-160.38952616902878,-51.651827655398435,-682.0924794121265,0.5097087373639835,0.028950828872106357,28.016528925619834,18,35
122,-150.83240591564152,-42.13836521739117,-1338.782053535065,0.3432780471315084,0.027710831813582866,28.166666666666668,18,36
123,-151.68241424982835,-38.879845517119584,-851.6906231105675,0.259839487729561,0.02714252064087117,27.691666666666666,17,37
124,-200.9603260659209,-33.36043346887767,-597.1960354957127,0.20983237449735506,0.026460456545542802,27.74380165289256,17,36
125,-226.96498439600813,-62.71223675074311,-676.6719313616729,0.029933677608820382,0.024857578323247226,27.669421487603305,17,37
126,-45.91763601185345,-45.91763601185346,-776.0235695028313,0.029887536146403427,0.025007835206179774,27.733333333333334,18,37
127,-56.50376663796658,-56.503766637966585,-691.7675280072825,0.029423635209601607,0.025245162666670023,28.26890756302521,20,38
128,-58.10682213237224,-58.10682213237224,-1180.4959922752691,0.03515731874103804,0.024926243698353896,29.45,24,38
129,-39.44409166820377,-39.244788475398884,-1352.080889085005,0.03223694987104206,0.025048672814255615,27.558333333333334,23,38
130,-51.66802299966398,-51.668022999664,-632.7170876347982,0.03139293713647578,0.025028133757571333,27.608333333333334,23,38
131,-49.65770694988832,-49.65770694988834,-680.8391421139919,0.030532414863368225,0.025043026113422455,27.15,23,39
132,-49.349678434133004,-49.34967843413299,-694.0123870940249,0.030446946236966744,0.025005697908175886,26.833333333333332,22,39
133,-21.27612728917321,-21.276127289173214,-596.5225427483758,0.029222054557410927,0.025003153236660587,26.091666666666665,23,38
134,-55.59764939778911,-55.59764939778911,-630.0727923572973,0.030303030302724212,0.024985271901664507,25.966666666666665,23,33
135,-48.246090268230105,-48.20587575724561,-679.3727329117517,0.029667945322991593,0.02501058474942026,26.433333333333334,23,32
136,-62.58507001847445,-62.585070018474454,-712.0234431840967,0.028734014170631483,0.02503113103818811,26.158333333333335,22,33
137,-40.817930113305586,-40.81793011330558,-652.1102543156705,0.028168271845117516,0.025028287116055092,26.508333333333333,22,34
138,-44.96256436565777,-44.96256436565777,-862.974549824194,0.029508833235974537,0.024982125847875996,26.583333333333332,23,34
139,-61.77677523638272,-61.70286502918911,-685.3819016624681,0.03146929824528392,0.024983662791326845,27.266666666666666,23,35
140,-46.515143023482906,-46.51514302348289,-1057.1116449593985,0.030160419430626445,0.025021814646670523,28.083333333333332,22,35
141,-154.69771786601297,-494.45924091432863,-2396.1945888764108,0.9999999989999999,0.03333333330972222,5.0,5,5
142,-83.35863768972655,-357.6354592359689,-973.6150068296802,0.9999999989999999,0.03958333331006944,5.333333333333333,4,6
143,-253.91065441687874,-342.1321975666008,-748.3781206801301,0.6666666661666666,0.03888888886986111,5.541666666666667,4,7
144,-243.51961655764816,-311.3013897482419,-770.0379083492852,0.9999999989999999,0.04413510098556074,5.641666666666667,4,8
145,-302.04013913350025,-350.82038560368596,-825.5771124902827,0.6999999994499999,0.03078703702181533,6.066666666666666,4,9
146,-247.94493967758473,-332.50442919485073,-733.9323495491615,0.5666666662944444,0.0322288359655541,6.141666666666667,4,9
147,-418.1953994828274,-273.3948431165398,-841.8998015646057,0.6666666661444445,0.02305250304674609,6.233333333333333,4,9
148,-159.6125854026995,-222.5801541165725,-1325.6212282735928,0.9999999989999999,0.03230280502816221,6.608333333333333,4,10
149,-249.97594407620082,-160.06128237222975,-687.428011970708,0.8666666658444443,0.036638879055699396,6.7,4,10
150,-133.5977538026999,-99.41877312464638,-822.0019250694295,0.9999999989999999,0.03344648365198606,6.625,4,11
151,-29.90648236417868,-77.5961662308445,-764.7271483366078,1.0252782183955453,0.04330611543437491,6.333333333333333,4,10
152,-148.2697464533124,-106.14667082878847,-703.4546729885925,0.6111111106574073,0.030161109894855428,6.591666666666667,4,11
153,-34.12269384128906,-57.38045369185888,-1064.7404015780955,1.0217416981608174,0.03683839253383476,6.941666666666666,4,12
154,-75.67259661036614,-55.165686748245534,-892.026042184051,0.5227088989541828,0.04129344154036483,7.25,4,12
155,-114.70170133135203,-62.955347892575105,-655.596415750937,0.4116268648694601,0.027525299988614818,7.491666666666666,4,13
156,-143.24688863071637,-58.997155284563675,-587.7199177081768,0.439999999792,0.025935958880822018,7.275,4,14
157,-111.36570321925817,-61.2959668569238,-914.7458263417387,0.40186580281856754,0.02901728107542201,7.291666666666667,4,12
158,-127.15943724277466,-100.31064052628714,-736.006415921477,0.36853246951301194,0.025078109514389744,7.366666666666666,4,12
159,-132.11001905898553,-60.98770309085419,-663.4611528331018,0.3950713569679126,0.02562201211793588,7.366666666666666,4,13
160,-110.51376262046843,-65.91258820563719,-623.6893845970395,0.3348969384052657,0.027705180873195564,7.633333333333334,4,14
161,-116.24729112092787,-74.63617000390687,-685.4992538879817,0.6833333327994444,0.031554104753688514,8.041666666666666,4,14
162,-237.13506650103506,-69.17032106355593,-687.4972455423872,0.9999999989999999,0.03795910932085525,8.658333333333333,4,14
163,-275.38972011639015,-80.7137562725591,-844.7160955833717,0.49999999949999996,0.04060537797021025,8.483333333333333,4,13
164,-375.77279235670164,-98.92377697512605,-1005.0490815743278,0.33333333299999995,0.03240575121422694,9.016666666666667,4,14
165,-172.5680858036181,-78.98723710204968,-1141.0549869959118,0.2904761902624716,0.030001008481022433,9.206611570247935,4,13
166,-164.08210403398448,-103.94428685222826,-813.6257182531732,0.9999999989999999,0.03591723460234408,9.024793388429751,4,12
167,-116.33172470806433,-66.21294126768295,-975.6056393016377,0.49999999949999996,0.029967341912052504,9.225,4,12
168,-121.93993989884332,-63.67475357032571,-765.2318071808611,0.33333333299999995,0.02747645402839257,9.297520661157025,5,13
169,-121.17739904195469,-63.6203274346136,-820.470397047972,0.24999999974999998,0.0274980839515973,9.591666666666667,6,14
170,-177.236647962179,-74.17985414746617,-810.2680328020571,0.1999999998,0.026754197952851624,9.308333333333334,5,13
171,-58.48078483427132,-86.55253124125834,-782.418684909925,0.0518889992183326,0.025022716482852488,9.2,5,14
172,-60.06615567412363,-90.34845012601042,-839.8115693236638,0.05202109249901614,0.02516596402245341,9.235294117647058,5,15
173,-251.09343340888307,-47.49943408936575,-797.8110327579918,0.9999999989999999,0.0413290590777244,9.15,5,14
174,-346.44959053082687,-58.414920041768326,-1461.2751422761755,0.49999999949999996,0.02946330578930193,8.8,5,11
175,-405.1197915998861,-85.30232677081027,-851.9685246501451,0.33333333299999995,0.0280214887582717,9.25,7,12
176,-362.84834873602523,-42.66479341389402,-778.6584048167642,0.24999999974999998,0.027160375199596264,9.358333333333333,7,12
177,-352.03720889137657,-60.39159817342237,-800.9435423002085,0.1999999998,0.026679213371945433,9.841666666666667,7,13
178,-39.48617918131107,-48.49375428651647,-1119.2041434465202,0.051315789472712946,0.024489774127229892,10.099173553719009,6,14
179,-45.05216049587567,-65.98682636865574,-838.4019129534208,0.05424154333913965,0.0250103529955704,9.916666666666666,7,14
180,-57.6988037700003,-63.40393008265292,-876.5609723125299,0.04838192609631378,0.025517522106602335,9.716666666666667,6,13
181,-51.34720918150549,-61.223788612962515,-1027.4045140493974,0.046465771418089406,0.025273857754168582,10.108333333333333,6,14
182,-51.210234287718,-59.292449910387646,-769.4484618997733,0.045224004981322945,0.025240898831436615,9.766666666666667,5,13
183,-195.2543470659717,-63.07874515830428,-892.148257694905,0.9999999989999999,0.03332527216185407,9.775,6,13
184,-208.9436730293184,-58.65201738900842,-777.4212555887409,0.49999999949999996,0.029288231211946715,10.166666666666666,6,14
185,-251.95196299413297,-55.28206326473458,-808.9660215743585,0.33333333299999995,0.027877258851957954,10.291666666666666,6,14
186,-200.71297945603655,-50.69477482523512,-786.2739483434209,0.24999999974999998,0.027062733656921096,10.115702479338843,7,15
187,-45.518983493863445,-49.329516274281694,-1047.5524999448955,0.03977872293311742,0.02495564474629941,9.308333333333334,6,12
188,-40.507878852695065,-56.12360445548961,-1089.7310770597746,0.03962244851524353,0.02500781372056481,9.391666666666667,5,11
189,-35.39418515955103,-39.6937806353385,-821.5471181055782,0.03812688797767284,0.0251357907621689,9.683333333333334,6,12
190,-51.75378213367613,-55.603274846272335,-774.6031103074822,0.038085619491519215,0.02498868029896011,9.891666666666667,7,12
191,-41.43387462713751,-61.60117760152067,-850.9165886585575,0.038445708298537724,0.024986365179280125,9.883333333333333,7,13
192,-314.73272404999955,-47.92080235684717,-793.0152724779491,0.9999999989999999,0.033440858266985604,9.458333333333334,7,12
193,-305.372160805274,-65.12279191164063,-599.7822227346588,0.49999999949999996,0.029329285267565005,10.218487394957982,7,13
194,-281.57763520617254,-58.69747610199242,-762.5393195728376,0.33333333299999995,0.02751433691118579,10.735537190082646,8,13
195,-237.27103649338432,-56.05959408716262,-751.9368880424976,0.24999999974999998,0.027050452302034882,10.866666666666667,7,14
196,-254.00310752508776,-72.11996999433765,-685.0873463751802,0.1999999998,0.02660692411755765,11.40495867768595,7,15
197,-51.17233160993392,-53.64219793919077,-767.9578272667256,0.03733944865996849,0.024857435924793246,11.347107438016529,7,16
198,-50.38927991829861,-51.48744506081604,-823.9411462068067,0.03592850415193847,0.025195270860435232,11.275,7,17
199,-50.29957759142094,-52.26841790551296,-644.276359325931,0.03530700324116041,0.025109933522041012,11.241666666666667,6,16
200,-48.40373087851369,-67.69143558365731,-854.456793449442,0.03597855632696054,0.02491795244534055,11.433333333333334,6,16
