generation,best_avg_reward,avg_top_reward,worst_avg_reward
71,-95.86346972961,-350.6954776381597,-725.3509691507661
72,-92.77465369254705,-311.92948795046885,-727.5165097065523
73,-182.99932043125125,-318.85700349682475,-647.6011819397521
74,-77.75806319060803,-339.806129208091,-1062.38771087711
75,-89.37108656689165,-319.8149106614758,-963.1195128841507
76,-124.82663706813464,-361.1192139860971,-714.6445337463772
77,-123.74633702817383,-370.66052158165417,-758.599085552128
78,-213.6487226817745,-405.5247136243948,-801.0855007906412
79,-140.56919677195256,-391.43030958414823,-1010.3674044675639
80,-112.56965480799904,-378.7534657705147,-680.5117795079628
81,-176.22883519732005,-380.2650593660146,-956.4955547775687
82,-67.51529858014273,-327.20216100975694,-835.4294363372458
83,-99.57461545230586,-369.81243996337145,-1101.4044889838055
84,-65.79066172524088,-394.01354384828363,-1019.2330442055581
85,-148.90828281722514,-372.73788132932117,-791.1574916700177
86,-234.02773038487945,-407.74411900780467,-854.2520813146464
87,-192.58094663291575,-421.7247775494453,-791.1216378879933
88,-240.246506559014,-404.97387662254084,-826.9580943988819
89,-129.1957144306284,-289.5965456378715,-768.0469716300875
90,-45.59928254387356,-276.19904071235266,-751.7184314965616
91,-74.5516818363552,-309.2023635261084,-776.7620896387605
92,-47.08991113549864,-325.2294038906903,-1088.073780052448
93,-38.085771427206595,-315.96798318921844,-975.0625574898962
94,-44.04719421689947,-301.8593466331996,-831.9081271869472
95,-22.244828471046855,-329.3845329858348,-954.7302708026807
96,-161.0282211770034,-341.0282773037039,-738.7438414276787
97,-209.25804313051532,-391.75436710664485,-848.1230758098802
98,-231.98741886033332,-386.4836189513063,-764.118975572824
99,-24.95000941687595,-428.2664974025967,-745.7060820214425
100,-6.316724558149678,-396.53136530502957,-923.6532140160223
101,-523.7947903013194,-415.22072918341235,-1715.1857365543178
102,-113.80243278156891,-350.28936877330466,-847.1825605026163
103,-40.52086343424433,-360.4063655630409,-793.4967036584005
104,-43.12929728330176,-331.5866210127121,-842.4081437115619
105,-46.43319301613474,-317.8422355950682,-764.0620201417418
106,-125.8279837912531,-353.87333956826234,-899.7446632652163
107,-153.9981566615106,-368.8289433600243,-764.5943461467435
108,-66.24255729114915,-361.59909555889294,-956.905463193171
109,-240.58236279254643,-435.01448629654027,-1321.2838182480311
110,-87.42769724580596,-355.1499353814567,-615.8892081987794
111,-136.32415894436616,-423.080248911508,-1158.4725726279864
112,-117.69427268455418,-472.8058302588967,-1371.9042001495723
113,-103.98041624732573,-453.70695598148416,-867.9251020995404
114,-33.24805174959282,-403.03081304444396,-846.4940005770226
115,-99.28106027602732,-402.08361179225125,-884.9353076902331
116,-106.68311090179881,-446.5591678434059,-1048.6125051072552
117,-131.02486748664978,-406.27227016098635,-1066.101589070766
118,-194.77663762211085,-422.01206382277985,-1198.7651539379483
119,-106.22765810999219,-402.8368247550165,-1140.4680061231152
120,-119.74772183053634,-424.32096062384784,-1602.4246066464534
121,21.218912954605077,-433.52097998996476,-2927.098430593772
