(neat) PS D:\Git\ga_combine\source_code\multi_ga_pendulum_smoo> python ga_pendulum.py --population 50 --generations 100 --subset-k 5 --seed-refresh-rate 0.4
Starting Batch Experiment with seeds: [101, 102, 103, 104, 105]

##################################################
STARTING RUN WITH GLOBAL SEED: 101
##################################################

Global Seed set to: 101
Initial subset: [2099, 2049, 2094, 2070, 2084] (Max Age: 10)
Training Started. Logs: runs_pendulum/ga_1774047806_seed101
   Detailed logs: runs_pendulum/ga_1774047806_seed101/detailed_history.csv
   Checkpoints:   runs_pendulum/ga_1774047806_seed101/checkpoints/
Gen 56 | Fit: 0.16 | MaxRaw: -738.4 | Avg: -997.7
Gen 57 | Fit: 0.17 | MaxRaw: -746.7 | Avg: -1048.3
Gen 58 | Fit: 0.15 | MaxRaw: -787.4 | Avg: -1049.9
Gen 59 | Fit: 0.17 | MaxRaw: -653.6 | Avg: -944.7
Gen 60 | Fit: 0.16 | MaxRaw: -694.2 | Avg: -966.8
Gen 61 | Fit: 0.15 | MaxRaw: -700.5 | Avg: -992.4
Gen 62 | Fit: 0.16 | MaxRaw: -631.9 | Avg: -898.2
Gen 63 | Fit: 0.15 | MaxRaw: -650.6 | Avg: -938.0
Gen 64 | Fit: 0.16 | MaxRaw: -664.2 | Avg: -925.3
Gen 65 | Fit: 0.15 | MaxRaw: -659.4 | Avg: -883.3
Gen 66 | Fit: 0.16 | MaxRaw: -739.5 | Avg: -988.7
Gen 67 | Fit: 0.17 | MaxRaw: -671.8 | Avg: -948.7
Gen 68 | Fit: 0.18 | MaxRaw: -612.1 | Avg: -961.2
Gen 69 | Fit: 0.16 | MaxRaw: -706.5 | Avg: -997.6
Gen 70 | Fit: 0.17 | MaxRaw: -732.9 | Avg: -973.4
Gen 71 | Fit: 0.15 | MaxRaw: -655.9 | Avg: -916.9
Gen 72 | Fit: 0.13 | MaxRaw: -757.2 | Avg: -989.4
Gen 73 | Fit: 0.15 | MaxRaw: -634.7 | Avg: -891.7
Gen 74 | Fit: 0.14 | MaxRaw: -815.8 | Avg: -1057.3
Gen 75 | Fit: 0.15 | MaxRaw: -744.2 | Avg: -1005.5
Gen 76 | Fit: 0.17 | MaxRaw: -623.0 | Avg: -970.0
Gen 77 | Fit: 0.16 | MaxRaw: -650.6 | Avg: -916.5
Gen 78 | Fit: 0.17 | MaxRaw: -697.2 | Avg: -999.8
Gen 79 | Fit: 0.17 | MaxRaw: -665.7 | Avg: -935.4
Gen 80 | Fit: 0.15 | MaxRaw: -717.5 | Avg: -998.4
Gen 81 | Fit: 0.18 | MaxRaw: -623.9 | Avg: -936.0
Gen 82 | Fit: 0.16 | MaxRaw: -661.2 | Avg: -967.9
Gen 83 | Fit: 0.16 | MaxRaw: -681.5 | Avg: -933.3
Gen 84 | Fit: 0.17 | MaxRaw: -646.5 | Avg: -957.5
Gen 85 | Fit: 0.17 | MaxRaw: -610.5 | Avg: -934.2
Gen 86 | Fit: 0.15 | MaxRaw: -799.1 | Avg: -1061.8
Gen 87 | Fit: 0.17 | MaxRaw: -682.9 | Avg: -978.0
Gen 88 | Fit: 0.15 | MaxRaw: -702.6 | Avg: -971.8
Gen 89 | Fit: 0.17 | MaxRaw: -667.9 | Avg: -946.5
Gen 90 | Fit: 0.17 | MaxRaw: -717.7 | Avg: -1020.5
Gen 91 | Fit: 0.17 | MaxRaw: -695.1 | Avg: -1026.9
Gen 92 | Fit: 0.16 | MaxRaw: -654.6 | Avg: -983.3
Gen 93 | Fit: 0.18 | MaxRaw: -592.0 | Avg: -944.7
